constraint_id,observable,target_value,unit,source,doi_or_url,model_use,claim_level
TC_1T_ReS2,Curie temperature,405,K,"Wan et al. Room-Temperature Ferroelectricity in 1T'-ReS2 Multilayers, PRL 2022",https://doi.org/10.1103/PhysRevLett.128.067601,sets default landau.Tc,semi-quantitative
SHG_DISCRETE_STATES,SHG registry states,4,states,"Fu et al. Optical Imaging of the Interlayer Sliding in 2D 1T'-ReS2, Nano Letters 2026",https://doi.org/10.1021/acs.nanolett.5c05217,registry catalog and SHG state mapping,qualitative
PL_SHIFT,stacking-dependent PL modulation,5,meV,"Fu et al. Optical Imaging of the Interlayer Sliding in 2D 1T'-ReS2, Nano Letters 2026",https://doi.org/10.1021/acs.nanolett.5c05217,exciton band-edge shift scale,qualitative
DOPING_EC,coercive-field enhancement,870,kV/cm,"Liu et al. Electronic doping induced increase in coercive field of sliding ferroelectric ReS2 multilayers, PRB 2025",https://doi.org/10.1103/PhysRevB.111.104110,doping/vacancy barrier proxy,semi-quantitative
ULF_SHEAR,ULF Raman shear mode splitting,"13 and 20",cm^-1,"He et al. Coupling and stacking order of ReS2 atomic layers revealed by ULF Raman",https://arxiv.org/abs/1512.00092,ULF Raman mode defaults,qualitative
STACKING_OPTICS,AA/AB stacking optical contrast,"AA vs AB",category,"Zhou et al. Stacking-Order-Driven Optical Properties and Carrier Dynamics in ReS2",https://doi.org/10.1002/adma.201908311,Raman/PL stacking interpretation,qualitative
RESONANT_RAMAN,exciton-enhanced Raman response,100,fold,"Das et al. Giant Resonance Raman Scattering via Anisotropic Excitons in ReS2, ACS Photonics 2025",https://doi.org/10.1021/acsphotonics.5c01306,Raman resonance factor,qualitative
BSF_THEORY,bilayer stacking ferroelectric symmetry,80,layer_groups,"Ji et al. General Theory for Bilayer Stacking Ferroelectricity, PRL 2023",https://doi.org/10.1103/PhysRevLett.130.146801,symmetry and registry claim boundary,qualitative
PV_RECONFIG,bilayer ReS2 multistate photovoltaic response,23.63,percent,"Ge et al. Sliding-induced vertical ferroelectricity in bilayer 1T'-ReS2 toward high-efficiency photovoltaics, PR Applied 2026",https://doi.org/10.1103/z9vt-j5yt,band-offset and PV proxy,qualitative
LATTICE_REFS,monolayer/bulk ReS2 lattice constants,"a 6.51; b 6.41",A,"Robust Direct Bandgap Characteristics of One- and Two-Dimensional ReS2",https://pmc.ncbi.nlm.nih.gov/articles/PMC4562306/,material scaling constants,semi-quantitative
BANDGAP_REFS,direct bandgap range,1.5-1.6,eV,"Anisotropy study of phonon modes in ReS2 flakes by polarized temperature-dependent Raman spectroscopy",https://www.sciencedirect.com/science/article/pii/S0009261422007898,bandgap and PL scale,qualitative
EXCITON_BINDING,X1/X2 exciton binding energies,"118; 83",meV,"Exciton binding energy and hydrogenic Rydberg series in layered ReS2",https://pmc.ncbi.nlm.nih.gov/articles/PMC6367321/,exciton material constants,semi-quantitative
ANISOTROPIC_HOLES,strong one-dimensional hole-carrier character,anisotropic,category,"Strong One-Dimensional Characteristics of Hole-Carriers in ReS2 and ReSe2",https://pmc.ncbi.nlm.nih.gov/articles/PMC6389895/,effective-mass anisotropy rationale,qualitative
